quarter_end,year,quarter,offence,open_1yr_plus,share_of_quarter
2023-06-30,2023,Q2,Summary non-motoring,183.0,0.011071450178474197
2023-06-30,2023,Q2,Summary motoring,150.0,0.009074959162683768
2023-06-30,2023,Q2,Other,10.0,0.0006049972775122512
2023-09-30,2023,Q3,Violence against the person,3905.0,0.23942366646229307
2023-09-30,2023,Q3,Drug offences,3090.0,0.1894543225015328
2023-09-30,2023,Q3,Sexual offences,2588.0,0.15867565910484366
2023-09-30,2023,Q3,Miscellaneous crimes against society,2161.0,0.13249540159411405
2023-09-30,2023,Q3,Theft offences,896.0,0.054935622317596564
2023-09-30,2023,Q3,Possession of weapons,721.0,0.04420600858369099
2023-09-30,2023,Q3,Fraud offences,697.0,0.04273451870018394
2023-09-30,2023,Q3,Public order offences,656.0,0.04022072348252606
2023-09-30,2023,Q3,Not known,537.0,0.03292458614347026
2023-09-30,2023,Q3,Robbery,485.0,0.02973635806253832
2023-09-30,2023,Q3,Criminal damage and arson,242.0,0.01483752299202943
2023-09-30,2023,Q3,Summary non-motoring,172.0,0.010545677498467198
2023-09-30,2023,Q3,Summary motoring,150.0,0.009196811771919068
2023-09-30,2023,Q3,Other,10.0,0.0006131207847946045
2023-12-31,2023,Q4,Violence against the person,3918.0,0.2429616767952375
2023-12-31,2023,Q4,Drug offences,2933.0,0.18188019347637355
2023-12-31,2023,Q4,Sexual offences,2672.0,0.1656951506883294
2023-12-31,2023,Q4,Miscellaneous crimes against society,2094.0,0.12985241225350366
2023-12-31,2023,Q4,Theft offences,875.0,0.05426020091777254
2023-12-31,2023,Q4,Possession of weapons,699.0,0.04334614907602629
2023-12-31,2023,Q4,Fraud offences,685.0,0.04247798586134193
2023-12-31,2023,Q4,Public order offences,659.0,0.04086568274835669
2023-12-31,2023,Q4,Not known,576.0,0.03571871511844227
2023-12-31,2023,Q4,Robbery,434.0,0.02691305965521518
2023-12-31,2023,Q4,Criminal damage and arson,235.0,0.014572739675058911
2023-12-31,2023,Q4,Summary motoring,168.0,0.010417958576212328
2023-12-31,2023,Q4,Summary non-motoring,168.0,0.010417958576212328
2023-12-31,2023,Q4,Other,10.0,0.0006201165819174004
2024-03-31,2024,Q1,Violence against the person,3974.0,0.24631213586215445
2024-03-31,2024,Q1,Sexual offences,2903.0,0.17993058138093468
2024-03-31,2024,Q1,Drug offences,2745.0,0.17013759761993305
2024-03-31,2024,Q1,Miscellaneous crimes against society,2011.0,0.1246436097681914
2024-03-31,2024,Q1,Theft offences,885.0,0.05485310524358498
2024-03-31,2024,Q1,Possession of weapons,677.0,0.04196107598859551
2024-03-31,2024,Q1,Public order offences,652.0,0.04041155324160159
2024-03-31,2024,Q1,Fraud offences,636.0,0.039419858683525474
2024-03-31,2024,Q1,Not known,610.0,0.037808355026651794
2024-03-31,2024,Q1,Robbery,434.0,0.026899714887814553
2024-03-31,2024,Q1,Criminal damage and arson,251.0,0.015557208379819016
2024-03-31,2024,Q1,Summary motoring,175.0,0.010846659228957481
2024-03-31,2024,Q1,Summary non-motoring,169.0,0.010474773769678938
2024-03-31,2024,Q1,Other,12.0,0.0007437709185570844
2024-06-30,2024,Q2,Violence against the person,4136.0,0.2535712096131445
2024-06-30,2024,Q2,Sexual offences,3143.0,0.1926920483109558
2024-06-30,2024,Q2,Drug offences,2623.0,0.16081172215069586
2024-06-30,2024,Q2,Miscellaneous crimes against society,1968.0,0.1206547728526761
2024-06-30,2024,Q2,Theft offences,874.0,0.0535834712770523
2024-06-30,2024,Q2,Possession of weapons,661.0,0.04052479921525351
2024-06-30,2024,Q2,Not known,650.0,0.039850407700324934
2024-06-30,2024,Q2,Public order offences,648.0,0.03972779106124701
2024-06-30,2024,Q2,Fraud offences,594.0,0.0364171418061431
2024-06-30,2024,Q2,Robbery,416.0,0.02550426092820796
2024-06-30,2024,Q2,Criminal damage and arson,247.0,0.015143154926123475
2024-06-30,2024,Q2,Summary motoring,166.0,0.010177181043467598
2024-06-30,2024,Q2,Summary non-motoring,166.0,0.010177181043467598
2024-06-30,2024,Q2,Other,19.0,0.0011648580712402673
2024-09-30,2024,Q3,Violence against the person,4369.0,0.2705430676822094
2024-09-30,2024,Q3,Sexual offences,3306.0,0.20471855842467027
2024-09-30,2024,Q3,Drug offences,2463.0,0.15251718372654655
2024-09-30,2024,Q3,Miscellaneous crimes against society,1926.0,0.11926435073379156
2024-09-30,2024,Q3,Theft offences,828.0,0.051272524614527214
2024-09-30,2024,Q3,Possession of weapons,656.0,0.040621710322620595
2024-09-30,2024,Q3,Public order offences,622.0,0.038516316799801845
2024-09-30,2024,Q3,Fraud offences,583.0,0.03610130658245093
2024-09-30,2024,Q3,Not known,433.0,0.02681280574648585
2024-09-30,2024,Q3,Robbery,398.0,0.024645488884760668
2024-09-30,2024,Q3,Criminal damage and arson,234.0,0.014490061304105517
2024-09-30,2024,Q3,Summary non-motoring,159.0,0.00984581088612298
2024-09-30,2024,Q3,Summary motoring,155.0,0.009598117530497245
2024-09-30,2024,Q3,Other,17.0,0.001052696761409375
2024-12-31,2024,Q4,Violence against the person,4682.0,0.28232030873130726
2024-12-31,2024,Q4,Sexual offences,3406.0,0.2053786782440907
2024-12-31,2024,Q4,Drug offences,2350.0,0.14170284611673903
2024-12-31,2024,Q4,Miscellaneous crimes against society,1960.0,0.11818620356970574
2024-12-31,2024,Q4,Theft offences,840.0,0.05065123010130246
2024-12-31,2024,Q4,Possession of weapons,691.0,0.041666666666666664
2024-12-31,2024,Q4,Public order offences,673.0,0.0405812831644959
2024-12-31,2024,Q4,Fraud offences,595.0,0.03587795465508924
2024-12-31,2024,Q4,Not known,396.0,0.023878437047756874
2024-12-31,2024,Q4,Robbery,387.0,0.02333574529667149
2024-12-31,2024,Q4,Criminal damage and arson,248.0,0.014954172696575013
2024-12-31,2024,Q4,Summary motoring,177.0,0.010672937771345875
2024-12-31,2024,Q4,Summary non-motoring,162.0,0.009768451519536902
2024-12-31,2024,Q4,Other,17.0,0.0010250844187168354
2025-03-31,2025,Q1,Violence against the person,5156.0,0.2889486662183367
2025-03-31,2025,Q1,Sexual offences,3733.0,0.20920197265187176
2025-03-31,2025,Q1,Drug offences,2472.0,0.13853396099529253
2025-03-31,2025,Q1,Miscellaneous crimes against society,2067.0,0.11583725622057835
2025-03-31,2025,Q1,Theft offences,903.0,0.050605245460659046
2025-03-31,2025,Q1,Possession of weapons,733.0,0.041078233579914816
2025-03-31,2025,Q1,Public order offences,713.0,0.039957408652768436
2025-03-31,2025,Q1,Fraud offences,618.0,0.03463349024882313
2025-03-31,2025,Q1,Robbery,408.0,0.022864828513786146
2025-03-31,2025,Q1,Not known,396.0,0.02219233355749832
2025-03-31,2025,Q1,Criminal damage and arson,258.0,0.014458641560188298
2025-03-31,2025,Q1,Summary motoring,190.0,0.010647836807890608
2025-03-31,2025,Q1,Summary non-motoring,176.0,0.009863259358888142
2025-03-31,2025,Q1,Other,21.0,0.0011768661735036988
2025-06-30,2025,Q2,Violence against the person,5661.0,0.2985129719468467
2025-06-30,2025,Q2,Sexual offences,4011.0,0.2115060113900021
2025-06-30,2025,Q2,Drug offences,2505.0,0.132092385572664
2025-06-30,2025,Q2,Miscellaneous crimes against society,2165.0,0.11416367854882936
2025-06-30,2025,Q2,Theft offences,970.0,0.05114954650917528
2025-06-30,2025,Q2,Possession of weapons,792.0,0.04176334106728538
2025-06-30,2025,Q2,Public order offences,715.0,0.037703016241299306
2025-06-30,2025,Q2,Fraud offences,663.0,0.03496097869647754
2025-06-30,2025,Q2,Robbery,426.0,0.022463615271039863
2025-06-30,2025,Q2,Not known,402.0,0.021198059481122127
2025-06-30,2025,Q2,Criminal damage and arson,279.0,0.014712086057793715
2025-06-30,2025,Q2,Summary motoring,185.0,0.009755325880615904
2025-06-30,2025,Q2,Summary non-motoring,171.0,0.009017085003163889
2025-06-30,2025,Q2,Other,19.0,0.0010018983336848766
2025-09-30,2025,Q3,Violence against the person,6143.0,0.30635348094953124
2025-09-30,2025,Q3,Sexual offences,4336.0,0.21623778176740474
2025-09-30,2025,Q3,Drug offences,2471.0,0.1232296030321165
2025-09-30,2025,Q3,Miscellaneous crimes against society,2221.0,0.11076201875124676
2025-09-30,2025,Q3,Theft offences,999.0,0.049820466786355475
2025-09-30,2025,Q3,Possession of weapons,845.0,0.042140434869339716
2025-09-30,2025,Q3,Public order offences,770.0,0.038400159585078794
2025-09-30,2025,Q3,Fraud offences,693.0,0.034560143626570915
2025-09-30,2025,Q3,Robbery,466.0,0.023239577099541192
2025-09-30,2025,Q3,Not known,436.0,0.021743466985836825
2025-09-30,2025,Q3,Criminal damage and arson,305.0,0.015210452822661081
2025-09-30,2025,Q3,Summary motoring,176.0,0.008777179333732297
2025-09-30,2025,Q3,Summary non-motoring,173.0,0.00862756832236186
2025-09-30,2025,Q3,Other,18.0,0.0008976660682226212
2025-12-31,2025,Q4,Violence against the person,6504.0,0.3096847919245786
2025-12-31,2025,Q4,Sexual offences,4592.0,0.21864584325302353
2025-12-31,2025,Q4,Drug offences,2554.0,0.12160746595562327
2025-12-31,2025,Q4,Miscellaneous crimes against society,2321.0,0.11051328444910008
2025-12-31,2025,Q4,Theft offences,1028.0,0.04894771926483192
2025-12-31,2025,Q4,Possession of weapons,867.0,0.04128178268736311
2025-12-31,2025,Q4,Public order offences,798.0,0.03799638129701933
2025-12-31,2025,Q4,Fraud offences,722.0,0.03437767831635082
2025-12-31,2025,Q4,Robbery,475.0,0.022616893629178174
2025-12-31,2025,Q4,Not known,446.0,0.021236072754975716
2025-12-31,2025,Q4,Criminal damage and arson,314.0,0.014950957051709362
2025-12-31,2025,Q4,Summary motoring,187.0,0.00890391391296067
2025-12-31,2025,Q4,Summary non-motoring,181.0,0.008618226835539472
2025-12-31,2025,Q4,Other,13.0,0.000618988667745929
